Incident Number,Creation Date,Fatal Injury Victim,Concussion Intracranial Inju,Burns Severe,Burns Minor,Whiplash,Spinal Injury,Amputation,Injury Leading Deafness,Heart Attack,Fracture Major Bone,Eye Injury,Electric Shock Severe,Electric Shock Minor,Dislocation Limb,Bruise Hemorrhage Interna,Exposure Carcinomatou Poison,Swelling,Sprained Twisted Joints Muscle,Skin Infection Irritation,Seizure,Respiratory Infection Irrita,Poisoning,Other Internal Injury,Nausea Dizziness,Laceration Superficial Cut,Laceration Deep Cut,Fracture Nose Fingers Toes,External Bruise,Aches Pains,Date Of Occurrence,catagory of incident,fatal injury,permanent (serious) injury,non-permanent (minor) injury,No Injury,elevating devices number,Specific Root Cause,Reported occurrence narrative,Time of Occurrence,Summarized detail of Inspection and tests,Inspector's Conclusion,Incident Summary,Task Number,release
518574,14-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Jan-11,ED-Near-Miss,,,,,22202,,Elevator-Flood on 13th floor ran down the stairs and through the elevators,2:00:00 PM,,,ED-Near Miss,3200103,yes
518582,14-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-Jan-11,ED-Near-Miss,,,,,22203,,Elevator-Flood on 13th floor ran down stairs and into elevators no injuries,2:00:00 PM,,,ED-Near Miss,3200141,yes
519464,17-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Jan-11,ED-Incident,,,,,87727,,Elevator-Man with dog tried to kick dog leash into elevator and caught foot between doors and fell broke his arm.,12:00:00 AM,,,ED-Incident,3202552,yes
524274,27-Jan-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13-Jan-11,ED-Incident,0.0,0.0,1.0,0.0,17594,,Elevator - a piece of trim fell on person in elevator sore back,12:00:00 AM,,,ED-Incident,3212548,yes
519720,18-Jan-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16-Jan-11,ED-Incident,0.0,0.0,1.0,0.0,81630,,Elevator-Elderly man exiting elevator got hit with door and fell backwards sustained cut to left eyebrow,7:30:00 PM,,,ED-Incident,3203135,yes
510586,07-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-Jan-11,ED-Near-Miss,,,,,28532,,Elevator-Inspection by consultant descoverd a wire across terminals 34 and 35 in the controller enabling an electrical bypass of the hall door,1:00:00 PM,,,ED-Near Miss,3189181,yes
549258,18-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Jan-11,ED-Near-Miss,,,,,27865,,Elevator - Broken sprinkler flood,3:06:00 PM,,,ED-Near Miss,3266696,yes
522992,25-Jan-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18-Jan-11,ED-Incident,0.0,0.0,1.0,0.0,20495,,Elevator- When elevator stopped on 2nd floor staff went to get out and it dropped 6 inches and his left ankle was slapped against wall,4:50:00 PM,,,ED-Incident,3210227,yes
521180,20-Jan-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18-Jan-11,ED-Incident,0.0,0.0,1.0,0.0,67549,,Elevator - not level she tripped going in bruised thumb and bump on head.,8:30:00 PM,,,ED-Incident,3206443,yes
524984,28-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Jan-11,ED-Near-Miss,,,,,14914,,Elevator -basement traction machine started to lift away from cement floor,12:00:00 AM,,,ED-Near Miss,3214209,yes
549356,18-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Jan-11,ED-Near-Miss,,,,,15122,,Elevator - flood from fire hose all 3 elevators 15123 122 124,12:00:00 AM,,,ED-Near Miss,3266746,yes
525066,28-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-Jan-11,ED-Near-Miss,,,,,561,"8.4 Sabotage, terrorism, vandalism, theft",Gate in hall(second floor) in hoistway broken off track elevator on 4th floor,3:24:00 AM,see attached doument,Vandalism,ED-Near Miss,3309670,yes
525630,31-Jan-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28-Jan-11,ED-Incident,0.0,0.0,1.0,0.0,21977,3.1 Defective or inadequate maintenance procedures,Elevator stopped hard victim hurt back,10:00:00 PM,see attachment,see attachment,ED Incident,3225772,yes
557978,31-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,21184,,Elevator - Female got her finger pinched between door and shopping cart.,11:15:00 AM,,,ED-Incident,3301945,yes
529414,08-Feb-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,86625,,Elevator-man put arm in to hold door and elevator closed on his arm.,11:45:00 AM,,,ED-Incident,3223318,yes
536940,21-Feb-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,62978,,Elevator - Female complained elevator dropped and she sustained a sore neck,4:55:00 PM,,,ED-Incident,3237312,yes
536944,21-Feb-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Feb-11,ED-Near-Miss,,,,,37794,,Eelevator - discovered unexplained oil loss (15 gal),12:00:00 AM,,,ED-Near Miss,3237325,yes
558304,31-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08-Feb-11,ED-Near-Miss,0.0,0.0,0.0,1.0,12579,,Elevator - Unknown female tripped entering elevator  no injuries reported,8:15:00 AM,,,ED-Near Miss,3287344,yes
536936,21-Feb-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,09-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,37906,,Elevator - women tripped leaving elevator and hit the mirror in hall damaged mouth area and her denture and went for a dental emergency,10:15:00 AM,,,ED-Incident,3237309,yes
542832,06-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,27043,,Elevator - got hit by elevator door in the arm sustained a sore arm,12:00:00 AM,,,ED-Incident,3250996,yes
536950,21-Feb-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13-Feb-11,ED-Incident,0.0,0.0,0.0,0.0,61338,,Elevator- little boy got hand caught in between elevator doors and got hurt,7:12:00 PM,,,ED-Incident,3237331,yes
577916,14-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,16904,,"Elevator- lady put hand between doors to stop it from going and it caught her hand sore wrist, pain, swelling and bruising",12:00:00 AM,,,ED-Incident,3311074,yes
573486,05-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Feb-11,ED-Near-Miss,,,,,65050,,Elevator - water flood in pit approx. 5 feet,3:00:00 PM,,,ED-Near Miss,3298395,yes
537442,22-Feb-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,22919,7.6 Failure to follow user instructions,Elevator - lady tripped going in elevator broken nose broken thumb,5:00:00 PM,complet multiple runs to ensure leveling o conduct periodic inspectionk,elevator not level victim tripped while entering,ED-Incdent,3255941,yes
558090,31-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,31881,,"Elevator - door closed too quickly and struck her she fell back into the car injured her left hip, shoulder, hand and head",12:15:00 PM,,,ED-Incident,3286871,yes
574838,07-Apr-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23-Feb-11,ED-Near-Miss,0.0,0.0,0.0,0.0,30467,,Elevator - Controller caught on fire bottom part melted,10:00:00 PM,,,ED-Near Miss,3301548,yes
575054,07-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Feb-11,ED-Near-Miss,,,,,60408,,Elevator-Hydraulic oil overheated due to the motor contactor being welded closed failed to open,6:00:00 AM,,,ED-Near Miss,3302238,yes
543310,07-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-Feb-11,ED-Near-Miss,,,,,17477,,Elevator-Building manager removed landing door to release trapped passengers,12:00:00 AM,,,ED-Near Miss,3251904,yes
543824,08-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28-Feb-11,ED-Incident,0.0,0.0,1.0,0.0,31881,,Elevator-Unidentified female fell in elevator unknown injuries,9:00:00 AM,,,ED-Incident,3252730,yes
541538,03-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,18837,7.6 Failure to follow user instructions,Elevator - boy 2 years got fingers caught in elevator door sustained bruising,6:30:00 AM,see attached,User misuse,ED-Incident,3299592,yes
576712,12-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-Mar-11,ED-Near-Miss,,,,,64499673,,Elevator-mechanic trying to move car couldn't found cab tilted towards door contractor tried to put a skid of tile inside,1:29:00 PM,,,ED-Near Miss,3307933,yes
541916,03-Mar-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,02-Mar-11,ED-Incident,0.0,0.0,1.0,0.0,29482,7.5 Failure to follow installation procedures,Elevator was travelling down and stopped suddenly in which the victim injured his back.,1:23:00 PM,See attached document,The car door skate was striking the paddle for the hoistway access causing the lock to break continuity causing the elevator to stop,ED Incident,3250503,yes
543804,08-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05-Mar-11,ED-Near-Miss,,,,,15237,,Elevator- flood in hoistway,12:00:00 AM,,,ED-Near Miss,3252671,yes
