elevator_id,location,city,license_number,license_status,license_expiry_date
10,"111 Wellesley St W, Toronto",Toronto,EDLIC-000010,ACTIVE,28-Apr-17
1009,"404 Main St, Woodstock",Woodstock,EDLIC-001009,ACTIVE,15-Jul-17
10145,"45 Second St E, Cornwall",Cornwall,EDLIC-010145,ACTIVE,15-Mar-17
1018,"150 Simcoe St, London",London,EDLIC-001018,ACTIVE,15-Oct-17
1019,"150 Simcoe St, London",London,EDLIC-001019,ACTIVE,15-Oct-17
1020,"150 Simcoe St, London",London,EDLIC-001020,ACTIVE,15-Oct-17
1021,"150 Simcoe St, London",London,EDLIC-001021,ACTIVE,15-Oct-17
1022,"150 Simcoe St, London",London,EDLIC-001022,ACTIVE,15-Oct-17
10246,"30 Adelaide St E, Toronto",Toronto,EDLIC-010246,ACTIVE,31-Jul-17
10255,"193 Church St, Oakville",Oakville,223355,ACTIVE,04-Feb-17
10264,75 Waterloo St Government Of Canada Bldg Stratford,Stratford,EDLIC-010264,ACTIVE,01-Oct-17
10300,"Western Rd, London",London,EDLIC-010300,ACTIVE,15-Mar-17
10316,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010316,ACTIVE,15-Jan-17
10319,800 Commissioners Rd E Planning Facilities London,London,EDLIC-010319,ACTIVE,15-Jan-17
10333,"Devonshire Rd, Walkerville",Walkerville,EDLIC-010333,ACTIVE,15-Mar-17
10357,"101 Worthington St East, North Bay",North Bay,EDLIC-010357,ACTIVE,15-Mar-17
10358,"101 Worthington St East, North Bay",North Bay,EDLIC-010358,ACTIVE,15-Mar-17
10359,"101 Worthington St East, North Bay",North Bay,EDLIC-010359,ACTIVE,15-Mar-17
10371,"14 Water St East, Little Current",Little Current,247048,ACTIVE,26-Apr-17
10396,"50 Rideau St, Ottawa",Ottawa,EDLIC-010396,ACTIVE,15-Mar-17
10397,"50 Rideau St, Ottawa",Ottawa,EDLIC-010397,ACTIVE,15-Mar-17
10427,"901 3Rd Ave E, Owen Sound",Owen Sound,200209,ACTIVE,27-Sep-17
10439,"228 Dundas St E, Belleville",Belleville,260833,ACTIVE,07-Feb-17
10457,"45 Main St E, Hamilton",Hamilton,172656,ACTIVE,29-Jan-17
10458,"45 Main St E, Hamilton",Hamilton,172657,ACTIVE,29-Jan-17
10460,"18 Front St N, Thorold",Thorold,262646,ACTIVE,14-Mar-17
10462,"138 Wyndham St N, Guelph",Guelph,EDLIC-010462,ACTIVE,15-Mar-17
10466,"45 Main St E, Hamilton",Hamilton,172658,ACTIVE,29-Jan-17
10467,"45 Main St E, Hamilton",Hamilton,172659,ACTIVE,29-Jan-17
